_id|_labels|CENTROID|CFS_AREA|DESCRIPTION|FULL_GEOID|INTPTLAT|INTPTLON|MA|NAME|STATE|STUSPS|_start|_end|_type
31|:MetroArea|{"crs":"wgs-84","latitude":43.1590617657517,"longitude":-71.44894123711948,"height":null}|33-148|Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (NH Part); New Hampshire|E330000US3314800000|+43.2995786|-071.6800412|148|New Hampshire|33|NH|||
32|:MetroArea|{"crs":"wgs-84","latitude":40.20836176670185,"longitude":-75.55772594814464,"height":null}|42-428|Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (PA Part); Pennsylvania|E330000US4242800000|+40.0093755|-075.1333459|428|Pennsylvania|42|PA|||
33|:MetroArea|{"crs":"wgs-84","latitude":32.712892273199785,"longitude":-89.65335940955671,"height":null}|28-99999|Remainder of Mississippi, Mississippi|E330000US2899999999|+32.0169894|-089.1194302|99999|Mississippi|28|MS|||
34|:MetroArea|{"crs":"wgs-84","latitude":39.65448208753233,"longitude":-86.07148019325177,"height":null}|18-294|Indianapolis-Carmel-Muncie, IN CFS Area; Indiana|E330000US1829400000|+40.0536499|-086.0217262|294|Indiana|18|IN|||
35|:MetroArea|{"crs":"wgs-84","latitude":39.23456847683088,"longitude":-84.18399953197115,"height":null}|39-178|Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (OH Part); Ohio|E330000US3917800000|+39.4397469|-084.5657341|178|Ohio|39|OH|||
36|:MetroArea|{"crs":"wgs-84","latitude":38.8977674374008,"longitude":-95.04914100894669,"height":null}|20-312|Kansas City-Overland Park-Kansas City, MO-KS CFS Area (KS Part); Kansas|E330000US2031200000|+39.7885021|-095.1472253|312|Kansas|20|KS|||
37|:MetroArea|{"crs":"wgs-84","latitude":28.68568006772464,"longitude":-81.37332473111199,"height":null}|12-422|Orlando-Deltona-Daytona Beach, FL CFS Area; Florida|E330000US1242200000|+29.0577690|-081.1617920|422|Florida|12|FL|||
38|:MetroArea|{"crs":"wgs-84","latitude":40.37653436837423,"longitude":-82.78725899652606,"height":null}|39-99999|Remainder of Ohio, Ohio|E330000US3999999999|+41.0004711|-083.6660335|99999|Ohio|39|OH|||
39|:MetroArea|{"crs":"wgs-84","latitude":39.90276213501828,"longitude":-89.27306555197475,"height":null}|17-99999|Remainder of Illinois, Illinois|E330000US1799999999|+40.4057924|-091.1679875|99999|Illinois|17|IL|||
40|:MetroArea|{"crs":"wgs-84","latitude":35.819483018525844,"longitude":-86.44721480774969,"height":null}|47-99999|Remainder of Tennessee, Tennessee|E330000US4799999999|+35.1607616|-085.1977114|99999|Tennessee|47|TN|||
